Classifier: MLPClassifier
------------------------------------------
Accuracy:  0.638
Precision:  0.638
Recall:  0.638
F1 Score:  0.638
Jaccard Score:  0.468
Hamming Loss:  0.362
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
                Ulmus glabra       0.00      0.00      0.00        34
            Ulmus parvifolia       0.30      0.50      0.38        40
               Ulmus procera       1.00      0.03      0.05        40
                Ulmus pumila       0.06      0.15      0.08        39
                 Ulmus rubra       0.03      0.07      0.04        88
             Zelkova serrata       0.12      0.05      0.07        39
                    accuracy                           0.20      7639
                   macro avg       0.20      0.18      0.16      7639
                weighted avg       0.20      0.20      0.17      7639
===============================================================================
Classifier: LinearSVC
------------------------------------------
Accuracy:  0.309
Precision:  0.309
Recall:  0.309
F1 Score:  0.309
Jaccard Score:  0.183
Hamming Loss:  0.691
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.46      0.77      0.57        66
          Abies nordmanniana       0.39      0.32      0.35        41
              Acer campestre       0.16      0.33      0.21        36
                Acer ginnala       0.26      0.75      0.39        40
                Acer griseum       0.25      0.15      0.19        26
                Acer negundo       0.32      0.37      0.35        65
               Acer palmatum       0.62      0.53      0.57        40
          Acer pensylvanicum       0.35      0.56      0.43        39
            Acer platanoides       0.17      0.05      0.08        40
         Acer pseudoplatanus       0.00      0.00      0.00        39
                 Acer rubrum       0.28      0.43      0.34        83
            Acer saccharinum       0.00      0.00      0.00        49
              Acer saccharum       0.00      0.00      0.00        52
              Aesculus flava       0.37      0.74      0.49        38
             Aesculus glabra       0.36      0.67      0.46        39
      Aesculus hippocastamon       0.33      0.33      0.33        39
               Aesculus pavi       0.00      0.00      0.00        41
         Ailanthus altissima       0.39      0.47      0.43        34
         Albizia julibrissin       0.48      0.79      0.60        38
         Amelanchier arborea       0.00      0.00      0.00        29
      Amelanchier canadensis       0.28      0.72      0.40        40
          Amelanchier laevis       0.43      0.38      0.40        40
             Asimina triloba       0.24      0.64      0.35        66
       Betula alleghaniensis       0.21      0.15      0.17        40
          Betula jacqemontii       0.20      0.07      0.11        40
                Betula lenta       0.38      0.21      0.27        39
                Betula nigra       0.00      0.00      0.00        39
          Betula populifolia       0.00      0.00      0.00        40
    Broussonettia papyrifera       0.16      0.10      0.12        79
            Carpinus betulus       0.25      0.40      0.31        40
        Carpinus caroliniana       0.28      0.27      0.27        49
           Carya cordiformis       0.32      0.53      0.40        49
                Carya glabra       0.00      0.00      0.00        33
                 Carya ovata       0.23      0.50      0.32        40
             Carya tomentosa       0.25      0.03      0.05        39
            Castanea dentata       0.21      0.21      0.21        39
        Catalpa bignonioides       0.48      0.82      0.61        57
            Catalpa speciosa       0.53      0.67      0.59        39
            Cedrus atlantica       0.44      0.15      0.23        26
              Cedrus deodara       0.52      0.65      0.58        26
               Cedrus libani       0.34      0.88      0.49        40
         Celtis occidentalis       0.00      0.00      0.00        37
           Celtis tenuifolia       0.12      0.10      0.11        39
    Cercidiphyllum japonicum       0.13      0.05      0.07        39
           Cercis canadensis       0.17      0.05      0.08        57
      Chamaecyparis pisifera       0.42      0.75      0.54        40
      Chamaecyparis thyoides       0.58      0.45      0.51        40
         Chionanthus retusus       0.14      0.35      0.20        40
      Chionanthus virginicus       0.40      0.04      0.06        57
            Cladrastis lutea       0.43      0.54      0.48        39
              Cornus florida       0.14      0.05      0.07        41
                Cornus kousa       0.00      0.00      0.00        40
                  Cornus mas       0.18      0.35      0.24        40
             Corylus colurna       0.00      0.00      0.00        16
        Crataegus crus-galli       0.62      0.15      0.24        34
         Crataegus laevigata       0.30      0.85      0.45        40
       Crataegus phaenopyrum       0.27      0.47      0.35        40
          Crataegus pruinosa       0.31      0.65      0.42        40
           Crataegus viridis       0.22      0.42      0.29        40
        Cryptomeria japonica       0.21      0.15      0.18        26
        Diospyros virginiana       0.25      0.32      0.28        66
           Eucommia ulmoides       0.24      0.50      0.33        40
            Evodia daniellii       0.67      0.23      0.34        26
           Fagus grandifolia       0.16      0.08      0.11        38
                Ficus carica       0.24      0.18      0.21        39
          Fraxinus americana       0.50      0.79      0.61        29
              Fraxinus nigra       0.45      0.82      0.58        40
      Fraxinus pennsylvanica       0.59      0.26      0.36        39
               Ginkgo biloba       0.29      0.55      0.38        40
       Gleditsia triacanthos       0.25      0.08      0.12        50
         Gymnocladus dioicus       0.41      0.33      0.37        39
          Halesia tetraptera       0.46      0.33      0.38        40
                  Ilex opaca       0.16      0.14      0.15        71
             Juglans cinerea       0.59      0.42      0.49        40
               Juglans nigra       0.28      0.43      0.34        49
        Juniperus virginiana       0.35      0.56      0.43        16
     Koelreuteria paniculata       0.47      0.53      0.49        40
               Larix decidua       0.56      0.62      0.59        40
     Liquidambar styraciflua       0.44      0.38      0.41        39
     Liriodendron tulipifera       0.26      0.20      0.22        61
            Maclura pomifera       0.27      0.82      0.40       140
          Magnolia acuminata       0.40      0.30      0.34        40
           Magnolia denudata       0.16      0.41      0.23        39
        Magnolia grandiflora       1.00      0.05      0.10        40
        Magnolia macrophylla       0.27      0.36      0.31        39
        Magnolia soulangiana       1.00      0.08      0.14        13
           Magnolia stellata       0.19      0.44      0.26        39
          Magnolia tripetala       0.22      0.21      0.21        39
         Magnolia virginiana       0.33      0.10      0.15        40
          Malus angustifolia       0.20      0.22      0.21        18
               Malus baccata       0.28      0.53      0.36        40
             Malus coronaria       0.17      0.03      0.04        40
            Malus floribunda       0.25      0.03      0.05        40
            Malus hupehensis       0.00      0.00      0.00        40
                Malus pumila       0.21      0.15      0.18        40
Metasequoia glyptostroboides       0.62      0.85      0.72        40
                  Morus alba       0.25      0.52      0.34        42
                 Morus rubra       1.00      0.07      0.14        41
             Nyssa sylvatica       0.06      0.03      0.04        39
           Ostrya virginiana       0.25      0.05      0.08        61
         Oxydendrum arboreum       0.13      0.33      0.19        39
         Paulownia tomentosa       0.35      0.64      0.45        39
      Phellodendron amurense       0.37      0.17      0.24        40
                 Picea abies       0.25      0.15      0.19        39
            Picea orientalis       0.62      0.82      0.70        39
               Picea pungens       0.33      0.17      0.23        40
              Pinus bungeana       0.40      0.05      0.09        40
                Pinus cembra       0.28      0.36      0.31        39
            Pinus densiflora       0.14      0.05      0.07        40
              Pinus echinata       0.12      0.05      0.07        40
              Pinus flexilis       0.37      0.54      0.44        41
            Pinus koraiensis       0.70      0.18      0.29        38
                 Pinus nigra       0.38      0.23      0.29        39
            Pinus parviflora       0.48      0.35      0.41        40
                Pinus peucea       0.24      0.15      0.18        41
               Pinus pungens       0.24      0.21      0.22        39
              Pinus resinosa       0.42      0.20      0.27        40
                Pinus rigida       0.30      0.33      0.31        40
               Pinus strobus       0.39      0.23      0.29        40
            Pinus sylvestris       0.50      0.45      0.47        40
                 Pinus taeda       0.30      0.85      0.44        40
            Pinus thunbergii       0.40      0.44      0.41        39
            Pinus virginiana       0.39      0.87      0.54        39
           Pinus wallichiana       0.39      0.60      0.48        40
         Platanus acerifolia       0.25      0.03      0.05        39
       Platanus occidentalis       0.20      0.05      0.09        55
           Populus deltoides       0.24      0.60      0.35        40
       Populus grandidentata       0.27      0.07      0.12        40
         Populus tremuloides       0.23      0.12      0.16        40
         Prunus pensylvanica       0.29      0.55      0.38        40
            Prunus sargentii       0.00      0.00      0.00        40
             Prunus serotina       0.29      0.19      0.23        42
            Prunus serrulata       0.00      0.00      0.00        39
          Prunus subhirtella       0.00      0.00      0.00        40
           Prunus virginiana       0.17      0.20      0.19        40
            Prunus yedoensis       0.40      0.05      0.09        39
        Pseudolarix amabilis       0.47      0.58      0.52        38
           Ptelea trifoliata       0.33      0.47      0.38        73
            Pyrus calleryana       0.27      0.23      0.25        40
          Quercus acutissima       0.00      0.00      0.00        40
                Quercus alba       0.09      0.02      0.03        53
             Quercus bicolor       0.00      0.00      0.00        41
              Quercus cerris       0.31      0.35      0.33        40
            Quercus coccinea       0.09      0.03      0.04        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.00      0.00      0.00        38
          Quercus macrocarpa       0.69      0.82      0.75        40
         Quercus marilandica       0.22      0.42      0.29        40
           Quercus michauxii       0.00      0.00      0.00        39
             Quercus montana       0.26      0.34      0.29        62
       Quercus muehlenbergii       0.37      0.36      0.36        39
               Quercus nigra       0.29      0.28      0.28        40
           Quercus palustris       0.38      0.65      0.48        40
             Quercus phellos       0.50      0.15      0.23        40
               Quercus robur       0.25      0.03      0.05        38
               Quercus rubra       0.00      0.00      0.00        13
           Quercus shumardii       0.35      0.82      0.49        40
            Quercus stellata       0.48      0.25      0.33        40
            Quercus velutina       0.32      0.51      0.40        39
          Quercus virginiana       0.38      0.20      0.26        40
       Robinia pseudo-acacia       0.33      0.02      0.05        41
            Salix babylonica       0.34      0.50      0.40        40
           Salix caroliniana       0.23      0.12      0.16        42
             Salix matsudana       0.17      0.08      0.11        38
                 Salix nigra       0.47      0.45      0.46        40
           Sassafras albidum       0.00      0.00      0.00        37
          Staphylea trifolia       0.00      0.00      0.00        55
    Stewartia pseudocamellia       0.15      0.10      0.12        39
             Styrax japonica       0.20      0.17      0.19        40
              Styrax obassia       0.00      0.00      0.00        13
          Syringa reticulata       0.49      0.85      0.62        20
          Taxodium distichum       0.54      0.55      0.55        38
             Tilia americana       0.39      0.40      0.40        47
               Tilia cordata       0.24      0.30      0.27        40
              Tilia europaea       0.20      0.49      0.28        39
             Tilia tomentosa       0.20      0.15      0.17        40
              Toona sinensis       0.00      0.00      0.00        13
            Tsuga canadensis       0.49      0.62      0.55        40
             Ulmus americana       0.00      0.00      0.00        66
                Ulmus glabra       0.17      0.06      0.09        34
            Ulmus parvifolia       0.24      0.50      0.32        40
               Ulmus procera       0.00      0.00      0.00        40
                Ulmus pumila       0.57      0.10      0.17        39
                 Ulmus rubra       0.06      0.01      0.02        88
             Zelkova serrata       0.13      0.21      0.16        39
                    accuracy                           0.31      7639
                   macro avg       0.29      0.30      0.26      7639
                weighted avg       0.28      0.31      0.26      7639
===============================================================================
Classifier: GaussianNB
------------------------------------------
Accuracy:  0.189
Precision:  0.189
Recall:  0.189
F1 Score:  0.189
Jaccard Score:  0.104
Hamming Loss:  0.811
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.60      0.50      0.55        66
          Abies nordmanniana       0.13      0.27      0.18        41
              Acer campestre       0.14      0.03      0.05        36
                Acer ginnala       0.61      0.28      0.38        40
                Acer griseum       0.00      0.00      0.00        26
                Acer negundo       0.18      0.12      0.15        65
               Acer palmatum       0.38      0.70      0.49        40
          Acer pensylvanicum       0.30      0.15      0.20        39
            Acer platanoides       0.02      0.05      0.03        40
         Acer pseudoplatanus       0.00      0.00      0.00        39
                 Acer rubrum       0.22      0.22      0.22        83
            Acer saccharinum       0.50      0.04      0.08        49
              Acer saccharum       0.36      0.08      0.13        52
              Aesculus flava       0.54      0.50      0.52        38
             Aesculus glabra       0.27      0.10      0.15        39
      Aesculus hippocastamon       0.27      0.18      0.22        39
               Aesculus pavi       0.19      0.10      0.13        41
         Ailanthus altissima       0.50      0.32      0.39        34
         Albizia julibrissin       0.68      0.39      0.50        38
         Amelanchier arborea       0.00      0.00      0.00        29
      Amelanchier canadensis       0.20      0.05      0.08        40
          Amelanchier laevis       0.26      0.40      0.31        40
             Asimina triloba       0.00      0.00      0.00        66
       Betula alleghaniensis       0.14      0.25      0.18        40
          Betula jacqemontii       0.05      0.03      0.03        40
                Betula lenta       0.20      0.36      0.25        39
                Betula nigra       0.08      0.03      0.04        39
          Betula populifolia       0.12      0.12      0.12        40
    Broussonettia papyrifera       0.00      0.00      0.00        79
            Carpinus betulus       0.08      0.10      0.09        40
        Carpinus caroliniana       0.08      0.04      0.05        49
           Carya cordiformis       0.39      0.24      0.30        49
                Carya glabra       0.25      0.09      0.13        33
                 Carya ovata       0.33      0.42      0.37        40
             Carya tomentosa       0.30      0.18      0.23        39
            Castanea dentata       0.12      0.05      0.07        39
        Catalpa bignonioides       0.71      0.47      0.57        57
            Catalpa speciosa       0.32      0.28      0.30        39
            Cedrus atlantica       0.29      0.27      0.28        26
              Cedrus deodara       0.25      0.62      0.36        26
               Cedrus libani       0.42      0.85      0.56        40
         Celtis occidentalis       0.00      0.00      0.00        37
           Celtis tenuifolia       0.14      0.08      0.10        39
    Cercidiphyllum japonicum       0.00      0.00      0.00        39
           Cercis canadensis       0.14      0.09      0.11        57
      Chamaecyparis pisifera       0.44      0.30      0.36        40
      Chamaecyparis thyoides       0.50      0.17      0.26        40
         Chionanthus retusus       0.29      0.17      0.22        40
      Chionanthus virginicus       0.00      0.00      0.00        57
            Cladrastis lutea       0.23      0.72      0.35        39
              Cornus florida       0.18      0.05      0.08        41
                Cornus kousa       0.00      0.00      0.00        40
                  Cornus mas       0.00      0.00      0.00        40
             Corylus colurna       0.02      0.25      0.04        16
        Crataegus crus-galli       0.30      0.09      0.14        34
         Crataegus laevigata       0.28      0.75      0.41        40
       Crataegus phaenopyrum       0.06      0.15      0.09        40
          Crataegus pruinosa       0.00      0.00      0.00        40
           Crataegus viridis       0.10      0.42      0.17        40
        Cryptomeria japonica       0.22      0.23      0.23        26
        Diospyros virginiana       0.15      0.08      0.10        66
           Eucommia ulmoides       0.03      0.05      0.04        40
            Evodia daniellii       0.14      0.04      0.06        26
           Fagus grandifolia       0.02      0.03      0.02        38
                Ficus carica       0.43      0.15      0.23        39
          Fraxinus americana       0.41      0.66      0.51        29
              Fraxinus nigra       0.53      0.88      0.66        40
      Fraxinus pennsylvanica       0.17      0.08      0.11        39
               Ginkgo biloba       0.05      0.53      0.09        40
       Gleditsia triacanthos       0.48      0.30      0.37        50
         Gymnocladus dioicus       0.10      0.21      0.14        39
          Halesia tetraptera       0.57      0.10      0.17        40
                  Ilex opaca       0.17      0.08      0.11        71
             Juglans cinerea       0.45      0.25      0.32        40
               Juglans nigra       0.19      0.08      0.11        49
        Juniperus virginiana       0.12      0.50      0.20        16
     Koelreuteria paniculata       0.41      0.28      0.33        40
               Larix decidua       0.46      0.40      0.43        40
     Liquidambar styraciflua       0.50      0.08      0.13        39
     Liriodendron tulipifera       0.22      0.03      0.06        61
            Maclura pomifera       0.51      0.25      0.34       140
          Magnolia acuminata       0.00      0.00      0.00        40
           Magnolia denudata       0.03      0.08      0.04        39
        Magnolia grandiflora       0.00      0.00      0.00        40
        Magnolia macrophylla       0.25      0.03      0.05        39
        Magnolia soulangiana       0.03      0.08      0.04        13
           Magnolia stellata       0.00      0.00      0.00        39
          Magnolia tripetala       0.50      0.03      0.05        39
         Magnolia virginiana       0.10      0.05      0.07        40
          Malus angustifolia       0.05      0.61      0.10        18
               Malus baccata       0.13      0.10      0.11        40
             Malus coronaria       0.00      0.00      0.00        40
            Malus floribunda       0.04      0.05      0.04        40
            Malus hupehensis       0.00      0.00      0.00        40
                Malus pumila       0.12      0.10      0.11        40
Metasequoia glyptostroboides       0.48      0.40      0.44        40
                  Morus alba       0.05      0.48      0.08        42
                 Morus rubra       0.25      0.07      0.11        41
             Nyssa sylvatica       0.09      0.15      0.11        39
           Ostrya virginiana       0.00      0.00      0.00        61
         Oxydendrum arboreum       0.00      0.00      0.00        39
         Paulownia tomentosa       0.35      0.28      0.31        39
      Phellodendron amurense       0.33      0.05      0.09        40
                 Picea abies       0.38      0.31      0.34        39
            Picea orientalis       0.88      0.54      0.67        39
               Picea pungens       0.20      0.38      0.26        40
              Pinus bungeana       0.06      0.03      0.03        40
                Pinus cembra       0.19      0.21      0.20        39
            Pinus densiflora       0.20      0.25      0.22        40
              Pinus echinata       0.19      0.07      0.11        40
              Pinus flexilis       0.19      0.24      0.21        41
            Pinus koraiensis       0.44      0.42      0.43        38
                 Pinus nigra       0.38      0.08      0.13        39
            Pinus parviflora       0.30      0.42      0.35        40
                Pinus peucea       0.36      0.29      0.32        41
               Pinus pungens       0.15      0.36      0.21        39
              Pinus resinosa       0.27      0.07      0.12        40
                Pinus rigida       0.10      0.03      0.04        40
               Pinus strobus       0.20      0.03      0.04        40
            Pinus sylvestris       0.79      0.28      0.41        40
                 Pinus taeda       0.34      0.82      0.48        40
            Pinus thunbergii       0.13      0.21      0.16        39
            Pinus virginiana       0.32      0.54      0.40        39
           Pinus wallichiana       0.56      0.35      0.43        40
         Platanus acerifolia       0.00      0.00      0.00        39
       Platanus occidentalis       0.17      0.04      0.06        55
           Populus deltoides       0.26      0.72      0.38        40
       Populus grandidentata       0.25      0.10      0.14        40
         Populus tremuloides       0.21      0.12      0.16        40
         Prunus pensylvanica       0.18      0.30      0.23        40
            Prunus sargentii       0.03      0.20      0.06        40
             Prunus serotina       0.20      0.02      0.04        42
            Prunus serrulata       0.00      0.00      0.00        39
          Prunus subhirtella       0.09      0.20      0.13        40
           Prunus virginiana       0.00      0.00      0.00        40
            Prunus yedoensis       0.02      0.03      0.02        39
        Pseudolarix amabilis       0.53      0.61      0.57        38
           Ptelea trifoliata       0.43      0.51      0.46        73
            Pyrus calleryana       1.00      0.03      0.05        40
          Quercus acutissima       0.03      0.03      0.03        40
                Quercus alba       0.00      0.00      0.00        53
             Quercus bicolor       0.00      0.00      0.00        41
              Quercus cerris       0.18      0.12      0.15        40
            Quercus coccinea       0.07      0.53      0.12        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.00      0.00      0.00        38
          Quercus macrocarpa       0.59      0.68      0.63        40
         Quercus marilandica       0.14      0.03      0.04        40
           Quercus michauxii       0.00      0.00      0.00        39
             Quercus montana       0.18      0.05      0.08        62
       Quercus muehlenbergii       0.12      0.21      0.15        39
               Quercus nigra       0.00      0.00      0.00        40
           Quercus palustris       0.14      0.20      0.16        40
             Quercus phellos       0.00      0.00      0.00        40
               Quercus robur       0.31      0.13      0.19        38
               Quercus rubra       0.08      0.08      0.08        13
           Quercus shumardii       0.22      0.68      0.33        40
            Quercus stellata       0.00      0.00      0.00        40
            Quercus velutina       0.21      0.56      0.31        39
          Quercus virginiana       0.12      0.07      0.09        40
       Robinia pseudo-acacia       0.33      0.29      0.31        41
            Salix babylonica       0.45      0.38      0.41        40
           Salix caroliniana       0.08      0.02      0.04        42
             Salix matsudana       0.33      0.34      0.33        38
                 Salix nigra       0.26      0.40      0.31        40
           Sassafras albidum       0.00      0.00      0.00        37
          Staphylea trifolia       0.00      0.00      0.00        55
    Stewartia pseudocamellia       0.07      0.03      0.04        39
             Styrax japonica       0.08      0.25      0.12        40
              Styrax obassia       0.00      0.00      0.00        13
          Syringa reticulata       0.55      0.85      0.67        20
          Taxodium distichum       0.64      0.18      0.29        38
             Tilia americana       0.55      0.26      0.35        47
               Tilia cordata       0.08      0.10      0.09        40
              Tilia europaea       0.00      0.00      0.00        39
             Tilia tomentosa       0.03      0.03      0.03        40
              Toona sinensis       0.47      0.69      0.56        13
            Tsuga canadensis       0.00      0.00      0.00        40
             Ulmus americana       0.14      0.02      0.03        66
                Ulmus glabra       0.33      0.03      0.05        34
            Ulmus parvifolia       0.35      0.30      0.32        40
               Ulmus procera       0.00      0.00      0.00        40
                Ulmus pumila       0.13      0.23      0.17        39
                 Ulmus rubra       0.00      0.00      0.00        88
             Zelkova serrata       0.00      0.00      0.00        39
                    accuracy                           0.19      7639
                   macro avg       0.21      0.20      0.17      7639
                weighted avg       0.22      0.19      0.17      7639
===============================================================================
Classifier: Perceptron
------------------------------------------
Accuracy:  0.1
Precision:  0.1
Recall:  0.1
F1 Score:  0.1
Jaccard Score:  0.053
Hamming Loss:  0.9
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.00      0.00      0.00        66
          Abies nordmanniana       0.10      0.54      0.17        41
              Acer campestre       0.20      0.03      0.05        36
                Acer ginnala       0.14      0.33      0.19        40
                Acer griseum       0.17      0.12      0.14        26
                Acer negundo       0.14      0.06      0.09        65
               Acer palmatum       1.00      0.05      0.10        40
          Acer pensylvanicum       0.11      0.41      0.17        39
            Acer platanoides       0.00      0.00      0.00        40
         Acer pseudoplatanus       0.07      0.08      0.07        39
                 Acer rubrum       0.40      0.05      0.09        83
            Acer saccharinum       0.00      0.00      0.00        49
              Acer saccharum       0.06      0.19      0.09        52
              Aesculus flava       0.34      0.26      0.30        38
             Aesculus glabra       0.79      0.28      0.42        39
      Aesculus hippocastamon       0.33      0.03      0.05        39
               Aesculus pavi       0.00      0.00      0.00        41
         Ailanthus altissima       0.00      0.00      0.00        34
         Albizia julibrissin       0.28      0.29      0.29        38
         Amelanchier arborea       0.00      0.00      0.00        29
      Amelanchier canadensis       0.55      0.15      0.24        40
          Amelanchier laevis       0.12      0.03      0.04        40
             Asimina triloba       0.08      0.02      0.03        66
       Betula alleghaniensis       0.29      0.05      0.09        40
          Betula jacqemontii       0.00      0.00      0.00        40
                Betula lenta       0.00      0.00      0.00        39
                Betula nigra       0.10      0.13      0.11        39
          Betula populifolia       0.00      0.00      0.00        40
    Broussonettia papyrifera       0.03      0.04      0.03        79
            Carpinus betulus       0.50      0.10      0.17        40
        Carpinus caroliniana       0.00      0.00      0.00        49
           Carya cordiformis       0.20      0.18      0.19        49
                Carya glabra       1.00      0.03      0.06        33
                 Carya ovata       0.11      0.33      0.16        40
             Carya tomentosa       0.00      0.00      0.00        39
            Castanea dentata       0.16      0.08      0.10        39
        Catalpa bignonioides       0.00      0.00      0.00        57
            Catalpa speciosa       0.40      0.31      0.35        39
            Cedrus atlantica       0.00      0.00      0.00        26
              Cedrus deodara       0.00      0.00      0.00        26
               Cedrus libani       0.41      0.23      0.29        40
         Celtis occidentalis       0.00      0.00      0.00        37
           Celtis tenuifolia       0.00      0.00      0.00        39
    Cercidiphyllum japonicum       0.00      0.00      0.00        39
           Cercis canadensis       0.18      0.07      0.10        57
      Chamaecyparis pisifera       0.47      0.35      0.40        40
      Chamaecyparis thyoides       0.00      0.00      0.00        40
         Chionanthus retusus       0.11      0.10      0.11        40
      Chionanthus virginicus       0.15      0.14      0.14        57
            Cladrastis lutea       0.00      0.00      0.00        39
              Cornus florida       0.25      0.02      0.04        41
                Cornus kousa       0.00      0.00      0.00        40
                  Cornus mas       0.00      0.00      0.00        40
             Corylus colurna       0.02      0.19      0.04        16
        Crataegus crus-galli       0.04      0.18      0.06        34
         Crataegus laevigata       0.05      0.03      0.03        40
       Crataegus phaenopyrum       0.29      0.28      0.28        40
          Crataegus pruinosa       0.22      0.40      0.29        40
           Crataegus viridis       0.00      0.00      0.00        40
        Cryptomeria japonica       0.00      0.00      0.00        26
        Diospyros virginiana       0.11      0.02      0.03        66
           Eucommia ulmoides       0.12      0.05      0.07        40
            Evodia daniellii       0.00      0.00      0.00        26
           Fagus grandifolia       0.10      0.32      0.16        38
                Ficus carica       0.20      0.46      0.28        39
          Fraxinus americana       0.67      0.21      0.32        29
              Fraxinus nigra       0.14      0.05      0.07        40
      Fraxinus pennsylvanica       0.00      0.00      0.00        39
               Ginkgo biloba       0.05      0.78      0.10        40
       Gleditsia triacanthos       0.00      0.00      0.00        50
         Gymnocladus dioicus       0.00      0.00      0.00        39
          Halesia tetraptera       0.25      0.10      0.14        40
                  Ilex opaca       0.09      0.13      0.10        71
             Juglans cinerea       0.44      0.20      0.28        40
               Juglans nigra       0.00      0.00      0.00        49
        Juniperus virginiana       0.00      0.00      0.00        16
     Koelreuteria paniculata       0.67      0.05      0.09        40
               Larix decidua       0.17      0.85      0.28        40
     Liquidambar styraciflua       0.50      0.03      0.05        39
     Liriodendron tulipifera       0.17      0.33      0.22        61
            Maclura pomifera       0.15      0.19      0.17       140
          Magnolia acuminata       0.00      0.00      0.00        40
           Magnolia denudata       0.00      0.00      0.00        39
        Magnolia grandiflora       0.00      0.00      0.00        40
        Magnolia macrophylla       0.00      0.00      0.00        39
        Magnolia soulangiana       0.00      0.00      0.00        13
           Magnolia stellata       0.33      0.03      0.05        39
          Magnolia tripetala       0.05      0.49      0.09        39
         Magnolia virginiana       0.00      0.00      0.00        40
          Malus angustifolia       0.03      0.17      0.06        18
               Malus baccata       0.00      0.00      0.00        40
             Malus coronaria       0.00      0.00      0.00        40
            Malus floribunda       0.05      0.03      0.03        40
            Malus hupehensis       0.08      0.05      0.06        40
                Malus pumila       0.00      0.00      0.00        40
Metasequoia glyptostroboides       1.00      0.10      0.18        40
                  Morus alba       0.00      0.00      0.00        42
                 Morus rubra       0.04      0.10      0.06        41
             Nyssa sylvatica       0.00      0.00      0.00        39
           Ostrya virginiana       0.01      0.02      0.01        61
         Oxydendrum arboreum       0.00      0.00      0.00        39
         Paulownia tomentosa       0.00      0.00      0.00        39
      Phellodendron amurense       1.00      0.07      0.14        40
                 Picea abies       0.00      0.00      0.00        39
            Picea orientalis       0.47      0.18      0.26        39
               Picea pungens       0.00      0.00      0.00        40
              Pinus bungeana       0.00      0.00      0.00        40
                Pinus cembra       0.00      0.00      0.00        39
            Pinus densiflora       0.00      0.00      0.00        40
              Pinus echinata       0.00      0.00      0.00        40
              Pinus flexilis       0.64      0.17      0.27        41
            Pinus koraiensis       0.27      0.18      0.22        38
                 Pinus nigra       0.00      0.00      0.00        39
            Pinus parviflora       0.38      0.15      0.21        40
                Pinus peucea       0.00      0.00      0.00        41
               Pinus pungens       0.00      0.00      0.00        39
              Pinus resinosa       0.00      0.00      0.00        40
                Pinus rigida       0.16      0.50      0.24        40
               Pinus strobus       0.26      0.20      0.23        40
            Pinus sylvestris       0.00      0.00      0.00        40
                 Pinus taeda       0.32      0.57      0.41        40
            Pinus thunbergii       0.00      0.00      0.00        39
            Pinus virginiana       0.00      0.00      0.00        39
           Pinus wallichiana       0.13      0.28      0.18        40
         Platanus acerifolia       0.00      0.00      0.00        39
       Platanus occidentalis       0.20      0.16      0.18        55
           Populus deltoides       0.16      0.20      0.18        40
       Populus grandidentata       0.11      0.12      0.12        40
         Populus tremuloides       0.25      0.03      0.05        40
         Prunus pensylvanica       0.15      0.17      0.16        40
            Prunus sargentii       0.00      0.00      0.00        40
             Prunus serotina       0.36      0.19      0.25        42
            Prunus serrulata       0.00      0.00      0.00        39
          Prunus subhirtella       0.01      0.03      0.02        40
           Prunus virginiana       0.50      0.03      0.05        40
            Prunus yedoensis       0.00      0.00      0.00        39
        Pseudolarix amabilis       0.65      0.29      0.40        38
           Ptelea trifoliata       0.50      0.04      0.08        73
            Pyrus calleryana       0.00      0.00      0.00        40
          Quercus acutissima       0.01      0.03      0.02        40
                Quercus alba       0.06      0.02      0.03        53
             Quercus bicolor       0.04      0.05      0.04        41
              Quercus cerris       0.18      0.33      0.23        40
            Quercus coccinea       0.00      0.00      0.00        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.04      0.08      0.06        38
          Quercus macrocarpa       0.36      0.40      0.38        40
         Quercus marilandica       0.00      0.00      0.00        40
           Quercus michauxii       0.03      0.15      0.05        39
             Quercus montana       0.00      0.00      0.00        62
       Quercus muehlenbergii       0.05      0.03      0.03        39
               Quercus nigra       0.33      0.03      0.05        40
           Quercus palustris       0.39      0.38      0.38        40
             Quercus phellos       0.00      0.00      0.00        40
               Quercus robur       0.00      0.00      0.00        38
               Quercus rubra       0.00      0.00      0.00        13
           Quercus shumardii       0.00      0.00      0.00        40
            Quercus stellata       0.00      0.00      0.00        40
            Quercus velutina       0.11      0.44      0.17        39
          Quercus virginiana       0.29      0.05      0.09        40
       Robinia pseudo-acacia       0.00      0.00      0.00        41
            Salix babylonica       0.32      0.17      0.23        40
           Salix caroliniana       0.16      0.10      0.12        42
             Salix matsudana       0.15      0.21      0.17        38
                 Salix nigra       0.10      0.17      0.13        40
           Sassafras albidum       0.00      0.00      0.00        37
          Staphylea trifolia       0.04      0.04      0.04        55
    Stewartia pseudocamellia       0.00      0.00      0.00        39
             Styrax japonica       0.00      0.00      0.00        40
              Styrax obassia       0.00      0.00      0.00        13
